Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Mid,BB_Lower,Sentiment
2019-03-14,19.33066749572754,19.69266700744629,19.21933364868164,19.496667861938477,106551000,19.613000011444093,20.50944004058838,19.55115923877833,46.13059724075338,-0.41123637589983275,-0.4123261690828972,0.001089793183064458,21.219141180398765,19.613000011444093,18.00685884248942,-0.08493779408424125
2019-03-15,18.36199951171875,18.9146671295166,18.293333053588867,18.900667190551758,221782500,19.518533325195314,20.463186683654786,19.43790593143932,38.9322521408445,-0.45566786765278877,-0.4209945087968755,-0.03467335885591327,21.18451658565705,19.518533325195314,17.852550064733578,-0.27752569783894715
2019-03-18,17.965999603271484,18.536666870117188,17.81999969482422,18.399999618530273,154215000,19.390566635131837,20.42202667236328,19.29772437637572,36.42958747176616,-0.5168758055387528,-0.440170768145251,-0.07670503739350176,21.119537786037355,19.390566635131837,17.661595484226318,-0.23159061758297214
2019-03-19,17.83133316040039,18.219999313354492,17.56399917602539,17.833332061767578,177009000,19.263333320617676,20.3550666809082,19.158068070092355,35.591690279331914,-0.5696830422819907,-0.46607322297259896,-0.10360981930939178,21.056825504689268,19.263333320617676,17.469841136546084,-0.0011208788818288546
2019-03-20,18.239999771118164,18.33133316040039,17.753332138061523,17.979333877563477,103623000,19.16679992675781,20.273253326416015,19.070632993999578,40.09463534498776,-0.5719639335502649,-0.48725136508813216,-0.08471256846213271,20.962386355774242,19.16679992675781,17.37121349774138,0.14397350346999385
2019-03-21,18.26799964904785,18.43000030517578,17.89666748046875,18.17333221435547,89206500,19.109433269500734,20.191479988098145,18.994191723051795,40.40207335711606,-0.5649992406230382,-0.5028009401951133,-0.062198300427924846,20.94251307169488,19.109433269500734,17.27635346730659,0.05204433577436802
2019-03-22,17.635332107543945,18.18666648864746,17.600000381469727,18.172000885009766,131184000,19.00883321762085,20.092813301086426,18.864776521574857,35.91675715685986,-0.603573040180386,-0.5229553601921679,-0.08061767998821812,20.93144281692924,19.00883321762085,17.08622361831246,-0.2870306452567664
2019-03-25,17.3613338470459,17.545333862304688,16.964000701904297,17.31399917602539,153225000,18.880999946594237,19.98007999420166,18.721591504953054,34.148606242366355,-0.648773763859861,-0.5481190409257066,-0.10065472293415434,20.883147929276163,18.880999946594237,16.87885196391231,0.027332149623609355
2019-03-26,17.851333618164062,18.017332077026367,17.6286678314209,17.62933349609375,110263500,18.78070001602173,19.874093322753907,18.63870980144934,39.85131393527553,-0.6377057022219894,-0.5660363731849632,-0.07166932903702616,20.77813683466533,18.78070001602173,16.78326319737813,0.12526512272762375
2019-03-27,18.32200050354004,18.357999801635742,17.8786678314209,17.916667938232422,131688000,18.647666645050048,19.79466667175293,18.608547011172266,44.79652682492421,-0.584220766182586,-0.5696732517844878,-0.014547514398098205,20.377207291928773,18.647666645050048,16.918125998171323,0.2224499319365845
2019-03-28,18.57466697692871,18.68866729736328,18.34000015258789,18.477333068847656,101611500,18.510133361816408,19.706920013427734,18.60532034124431,47.30134957712346,-0.5155030974348698,-0.5588392209145643,0.04333612347969451,19.72780983186463,18.510133361816408,17.292456891768186,0.05262879465225844
2019-03-29,18.657333374023438,18.67733383178711,18.299999237060547,18.579999923706055,89869500,18.46036672592163,19.618666687011718,18.61027396341375,48.13060412352588,-0.4491953184775639,-0.5369104404271642,0.0877151219496003,19.56312983482744,18.46036672592163,17.357603617015823,0.04159786036799059
2019-04-01,19.278667449951172,19.280000686645508,18.75200080871582,18.841333389282227,121656000,18.473100090026854,19.541160049438478,18.673930485941124,53.990821102425826,-0.34256063297002726,-0.49804047893573683,0.15547984596570957,19.60704215368622,18.473100090026854,17.33915802636749,0.22803355795301983
2019-04-02,19.058666229248047,19.29599952697754,18.92533302307129,19.219999313354492,82183500,18.504233360290527,19.519320030212402,18.710571985303687,51.76090280648517,-0.2726610692470466,-0.4529645969979988,0.1803035277509522,19.666235835003455,18.504233360290527,17.3422308855776,-0.08374362086123378
2019-04-03,19.45400047302246,19.744667053222656,19.14466667175293,19.154666900634766,118791000,18.556133365631105,19.50984004974365,18.78137469841976,55.331146429881485,-0.1832525703111756,-0.3990221916606342,0.2157696213494586,19.788338628750097,18.556133365631105,17.323928102512113,0.1550120804426602
2019-04-04,17.851999282836914,18.079999923706055,17.37266731262207,17.459333419799805,355810500,18.52676668167114,19.48342670440674,18.69286275407854,41.82297210972545,-0.2389097949168324,-0.3669997123118739,0.1280899173950415,19.79614160516909,18.52676668167114,17.257391758173192,0.22118633344652636
2019-04-05,18.33066749572754,18.406667709350586,17.74066734313965,17.99066734313965,195574500,18.496166706085205,19.46136005401611,18.65836796756892,46.060298914030874,-0.24160890496227694,-0.3419215508419545,0.10031264587967759,19.75341116295569,18.496166706085205,17.23892224921472,0.18676868836739577
2019-04-08,18.213333129882812,18.743999481201172,18.029333114624023,18.512666702270508,156156000,18.4371000289917,19.429573364257813,18.6159836973131,45.19139549145189,-0.25033022087766454,-0.3236032848490965,0.07327306397143196,19.62926053146802,18.4371000289917,17.24493952651538,-0.16029671671391676
2019-04-09,18.15399932861328,18.333332061767578,17.974000930786133,18.110000610351562,88560000,18.400266647338867,19.397480010986328,18.571985186008355,44.7318555178994,-0.2590435753755749,-0.3106913429543922,0.05164776757881734,19.579547988018767,18.400266647338867,17.220985306658967,0.02429048146479816
2019-04-10,18.40399932861328,18.558666229248047,18.19266700744629,18.44933319091797,105919500,18.35726661682129,19.368946647644044,18.55598653292311,47.16952369660276,-0.2429751941374647,-0.29714811319100676,0.054172919053542046,19.468169050317147,18.35726661682129,17.24636418332543,-0.02456714290578393
2019-04-11,17.89466667175293,18.03333282470703,17.706666946411133,17.886667251586914,147538500,18.285466575622557,19.31514663696289,18.49300368900214,43.00762625356677,-0.26824758380999825,-0.29136800731480506,0.02312042350480681,19.318317542948833,18.285466575622557,17.25261560829628,0.004472251158362714
2019-04-12,17.84666633605957,18.1299991607666,17.788667678833008,18.014667510986328,101190000,18.2596999168396,19.262719955444336,18.43144775062666,42.62591842417042,-0.28882002319495825,-0.2908584104908357,0.002038387295877464,19.30920604348874,18.2596999168396,17.210193790190463,-0.09298857434076184
2019-04-15,17.7586669921875,17.92533302307129,17.242000579833984,17.908666610717773,150579000,18.2493332862854,19.201613311767577,18.367373392680076,41.891852600798984,-0.3086665256636252,-0.2944200335253936,-0.014246492138231592,19.31422204349761,18.2493332862854,17.184444529073186,-0.08356279845069406
2019-04-16,18.224000930786133,18.333332061767578,17.648000717163086,17.71666717529297,109093500,18.268966674804688,19.1489066696167,18.3537188724997,47.08150986879518,-0.2835775564199423,-0.2922515381043034,0.008673981684361065,19.316644922196048,18.268966674804688,17.221288427413327,0.27878074973641953
2019-04-17,18.082000732421875,18.319332122802734,17.902666091918945,18.316667556762695,76897500,18.261066722869874,19.082080039978027,18.32784095439705,45.73906086454764,-0.2720169546721003,-0.28820462141786274,0.01618766674576244,19.311877604767812,18.261066722869874,17.210255840971936,-0.1274201592436278
2019-04-18,18.21733283996582,18.32266616821289,17.983333587646484,18.082000732421875,88144500,18.25853338241577,19.023466682434083,18.31731637207027,47.28184165569185,-0.24906387116618944,-0.2803764713675281,0.031312600201338636,19.309509479037093,18.25853338241577,17.207557285794447,0.07470411283231092
2019-04-22,17.516666412353516,17.978666305541992,17.498666763305664,17.933332443237305,182206500,18.25260009765625,18.96378665924072,18.241063994954388,40.8119191181209,-0.28413596952617226,-0.2811283709992569,-0.003007598526915345,19.318811753309447,18.25260009765625,17.18638844200305,-0.22824920433843693
2019-04-23,17.593332290649414,17.706666946411133,17.049999237060547,17.343332290649414,164158500,18.264200019836426,18.90791996002197,18.179375261211057,41.75113973843424,-0.30226029596094506,-0.28535475599159454,-0.016905539969350514,19.295861187201034,18.264200019836426,17.23253885247182,0.14315745255872614
2019-04-24,17.243999481201172,17.687999725341797,17.200000762939453,17.59000015258789,160912500,18.23383331298828,18.835679931640627,18.090291853591065,38.734952277987276,-0.3408827097793754,-0.2964603467491507,-0.044422363030224676,19.345006706923385,18.23383331298828,17.122659919053177,-0.19420475972853188
2019-04-25,16.5086669921875,17.266666412353516,16.404666900634766,17.0,327741000,18.143166637420656,18.750106620788575,17.939660914409775,33.284192083859665,-0.4259167344327466,-0.32235162428586994,-0.10356511014687664,19.48313290690001,18.143166637420656,16.8032003679413,-0.2812320340686809
2019-04-26,15.675999641418457,16.44533348083496,15.408666610717773,16.433332443237305,335410500,17.99823327064514,18.65273328781128,17.72407412650584,28.4090888152364,-0.5541086878899506,-0.3687030370066861,-0.1854056508832645,19.698712899678156,17.99823327064514,16.297753641612125,-0.43077805780759987
2019-04-29,16.097999572753906,16.26533317565918,15.477999687194824,15.723999977111816,250717500,17.870266580581664,18.56966661453247,17.56920988329137,33.70851757740296,-0.6145655379520001,-0.41787553719574894,-0.19669000075625115,19.73075686697358,17.870266580581664,16.00977629418975,0.23346651844640048
2019-04-30,15.912667274475098,16.28066635131836,15.800000190734863,16.137332916259766,141969000,17.701966571807862,18.477413291931153,17.411443920546965,32.56829507613176,-0.6697127629293824,-0.46824298234247563,-0.2014697805869068,19.63013797000649,17.701966571807862,15.773795173609233,-0.1383284844706902
2019-05-01,15.600666999816895,16.0,15.433333396911621,15.923333168029785,160566000,17.529066610336304,18.38190664291382,17.23898897571553,30.68644475695494,-0.730176134745605,-0.5206296128231016,-0.20954652192250345,19.557177194173885,17.529066610336304,15.500956026498724,-0.19990858101246853
2019-05-02,16.273332595825195,16.475332260131836,15.847999572753906,16.368000030517578,272389500,17.37003321647644,18.303959941864015,17.14702170144026,38.88549044895388,-0.715566693213546,-0.5596170289011906,-0.15594966431235546,19.26380341550285,17.37003321647644,15.476263017450028,-0.057772493894798584
2019-05-03,17.00200080871582,17.107332229614258,16.232667922973633,16.257333755493164,355602000,17.327533292770386,18.25569330215454,17.133210187847457,46.29628468751344,-0.6378385645665112,-0.5752613360342548,-0.06257722853225645,19.214269073283457,17.327533292770386,15.440797512257316,0.42849351566221155
2019-05-06,17.022666931152344,17.22333335876465,16.566667556762695,16.667999267578125,162508500,17.262133264541625,18.203199977874757,17.1226822586384,46.49445249013514,-0.5680230629584706,-0.5738136814190979,0.005790618460627339,19.095162534509708,17.262133264541625,15.429103994573541,0.2096293083703506
2019-05-07,16.470666885375977,17.1473331451416,16.34000015258789,17.1200008392334,151971000,17.174999952316284,18.134253330230713,17.06058555642293,42.032928710627196,-0.550885302524545,-0.5692280056401874,0.018342703115642345,18.98440731862913,17.174999952316284,15.365592586003439,-0.36208535562218025
2019-05-08,16.32266616821289,16.706666946411133,16.280000686645508,16.46266746520996,92646000,17.083433294296263,18.063560009002686,16.990307519450543,40.899715190362954,-0.5429867120719507,-0.5639797469265401,0.020993034854589365,18.870616504258294,17.083433294296263,15.296250084334234,-0.08483726601775278
2019-05-09,16.131999969482422,16.245332717895508,15.795999526977539,16.133333206176758,100671000,16.96983332633972,17.966546649932862,16.908563943263104,39.42506475537641,-0.5458203141850575,-0.5603478603782436,0.01452754619318608,18.694556538686033,16.96983332633972,15.245110113993409,-0.00082638619918297
2019-05-10,15.968000411987305,16.132667541503906,15.73466682434082,15.983332633972168,105124500,16.87350001335144,17.859400005340575,16.81898646409398,38.15089531377519,-0.5549027840831435,-0.5592588451192235,0.0043560610360799945,18.596062123912137,16.87350001335144,15.15093790279074,-0.009592337261687863
2019-05-13,15.133999824523926,15.498000144958496,14.966667175292969,15.46733283996582,162522000,16.73786668777466,17.769026679992677,16.65851154603969,32.41378859094429,-0.6222249622444416,-0.5718520685442672,-0.05037289370017439,18.557041300550132,16.73786668777466,14.918692074999186,-0.21223227216228768
2019-05-14,15.487333297729492,15.633333206176758,15.199999809265137,15.286666870117188,108786000,16.624300003051758,17.698293342590333,16.54697076048634,36.75319097105752,-0.6396932297533411,-0.585420300786082,-0.054272928967259104,18.457921229989505,16.624300003051758,14.79067877611401,0.13052009452003419
2019-05-15,15.463333129882812,15.496000289916992,15.016667366027832,15.288000106811523,109440000,16.486266613006592,17.638839988708497,16.443767176619335,36.58138189291617,-0.6480037862936285,-0.5979369978875912,-0.05006678840603729,18.230890968358636,16.486266613006592,14.741642257654549,0.11418650194780462
2019-05-16,15.222000122070312,15.399999618530273,15.100000381469727,15.299332618713379,112249500,16.343266582489015,17.574959983825682,16.32740840951943,34.818789640999924,-0.6663818835077446,-0.611625975011622,-0.05475590849612266,18.0082946850816,16.343266582489015,14.678238479896429,-0.05050331677076615
2019-05-17,14.0686674118042,14.815999984741211,13.928000450134277,14.797332763671875,266800500,16.135833311080933,17.487546672821043,16.112290219260835,27.90014816346411,-0.7651903310499151,-0.6423388462192806,-0.12285148483063446,17.848299294406793,16.135833311080933,14.423367327755074,-0.45614312060936696
2019-05-20,13.690667152404785,13.733332633972168,13.016667366027832,13.520000457763672,307893000,15.944533348083496,17.382506675720215,15.881659450988831,26.07163695169291,-0.8640381060159577,-0.6866786981786162,-0.1773594078373415,17.842053977396894,15.944533348083496,14.047012718770098,0.12556651020170856
2019-05-21,13.67199993133545,13.826666831970215,13.06933307647705,13.184000015258789,270058500,15.748466730117798,17.268053340911866,15.67121568721232,25.98108025362224,-0.9331254788978338,-0.7359680543224597,-0.1971574245753741,17.73239971774462,15.748466730117798,13.764533742490975,0.354119031881492
2019-05-22,12.84866714477539,13.595999717712402,12.785332679748535,13.273332595825195,280278000,15.528700113296509,17.147213344573974,15.402401540313564,22.301729105985913,-1.042298822631757,-0.7972342079843192,-0.2450646146474379,17.759674008490123,15.528700113296509,13.297726218102893,-0.3094516105704235
2019-05-23,13.03266716003418,13.29800033569336,12.414667129516602,12.956000328063965,398206500,15.354900121688843,17.02258668899536,15.176712551715529,24.862654995889685,-1.1012773804923146,-0.8580428424859183,-0.24323453800639627,17.78602904807545,15.354900121688843,12.923771195302237,0.05910579523630281
2019-05-24,12.708666801452637,13.331999778747559,12.583333015441895,13.321999549865723,212049000,15.206533479690552,16.890146675109865,14.941660575500016,23.40008897143322,-1.1607816651930758,-0.9185906070273498,-0.24219105816572595,17.890229884203148,15.206533479690552,12.522837075177957,-0.43040275954521295
2019-05-28,12.579999923706055,13.0,12.523332595825195,12.74666690826416,154693500,15.03063349723816,16.77450668334961,14.716740513424401,22.825839387855424,-1.2044375746199751,-0.975760000545875,-0.22867757407410017,17.9114765199336,15.03063349723816,12.149790474542721,-0.13001330619574644
2019-05-29,12.657333374023438,12.826000213623047,12.336000442504883,12.473333358764648,179529000,14.867866802215577,16.66833335876465,14.52060650014812,24.032530594489387,-1.2187460879676415,-1.0243572180302283,-0.19438886993741322,17.895109526463422,14.867866802215577,11.840624077967732,0.1464539398352557
2019-05-30,12.54800033569336,12.817333221435547,12.468000411987305,12.583333015441895,118897500,14.7152334690094,16.56266670227051,14.332739246390522,23.47370713608126,-1.224789341221145,-1.0644436426684116,-0.1603456985527334,17.88382426500483,14.7152334690094,11.54664267301397,-0.028071574423392594
2019-05-31,12.343999862670898,12.661333084106445,12.273332595825195,12.34000015258789,156100500,14.518766832351684,16.44474670410156,14.143335495560082,22.425881341416726,-1.2318399125158965,-1.0979228966379087,-0.13391701587798788,17.762928705710895,14.518766832351684,11.274604958992473,0.0032412447544324275
